clientid;hitdatetime;action
930950;2021-12-03 16:37:56;visit
930950;2021-10-02 09:13:21;registration
930950;2021-10-02 19:15:27;login
930950;2021-10-08 13:04:54;login
930950;2021-10-14 16:20:25;login
930950;2021-10-21 06:49:44;login
930950;2021-10-22 19:49:17;login
930950;2021-10-26 23:52:07;login
930950;2021-11-01 22:36:06;login
930950;2021-11-07 00:00:43;login
930950;2021-11-13 17:26:52;login
930950;2021-11-20 01:20:18;login
218833;2021-01-31 00:03:17;visit
218833;2021-02-06 02:35:48;visit
918743;2021-03-12 14:26:24;visit
918743;2021-03-15 06:02:50;visit
918743;2021-03-17 05:36:40;visit
918743;2021-03-17 13:14:13;visit
918743;2021-03-23 01:03:34;visit
918743;2021-03-27 16:55:44;visit
918743;2021-03-29 04:15:38;visit
918743;2021-03-31 21:48:19;visit
918743;2021-04-05 20:51:38;visit
918743;2021-04-11 10:20:22;visit
918743;2021-04-13 07:28:31;visit
918743;2021-04-14 06:03:01;visit
933600;2021-09-26 14:31:12;visit
933600;2021-10-01 08:27:33;visit
933600;2021-10-02 04:15:15;visit
933600;2021-10-08 18:39:43;visit
933600;2021-10-12 19:48:45;visit
933600;2021-10-19 11:06:57;visit
933600;2021-10-21 10:07:09;visit
933600;2021-10-22 21:01:23;visit
933600;2021-10-23 14:15:42;visit
933600;2021-10-25 22:09:26;visit
933600;2021-10-27 21:03:24;visit
933600;2021-11-02 22:26:49;visit
933600;2021-11-05 08:31:53;visit
933600;2021-11-07 08:05:43;visit
933600;2021-09-27 16:02:10;registration
933600;2021-10-02 03:38:37;login
933600;2021-10-08 02:36:50;login
933600;2021-10-10 19:58:57;login
933600;2021-10-17 09:35:10;login
933600;2021-10-18 12:20:58;login
933600;2021-10-18 22:43:45;login
933600;2021-10-24 11:14:19;login
933600;2021-10-28 08:59:06;login
607473;2021-12-08 08:15:04;visit
607473;2021-12-08 20:01:01;visit
607473;2021-12-10 01:40:17;visit
607473;2021-12-14 21:58:03;visit
607473;2021-12-16 22:12:42;visit
607473;2021-12-20 10:57:10;visit
607473;2021-12-26 19:58:37;visit
607473;2021-12-31 18:21:30;visit
607473;2022-01-02 02:54:53;visit
607473;2022-01-07 22:01:20;visit
607473;2022-01-10 22:45:23;visit
607473;2022-01-16 00:35:07;visit
607473;2022-01-16 01:37:45;visit
607473;2022-01-19 13:01:59;visit
607473;2022-01-21 21:51:56;visit
607473;2022-01-24 04:09:01;visit
607473;2022-01-28 01:51:53;visit
607473;2022-01-28 07:25:33;visit
607473;2022-02-01 07:04:07;visit
607473;2022-02-03 09:12:04;visit
607473;2022-02-09 13:06:40;visit
607473;2022-02-11 02:16:57;visit
607473;2022-02-17 11:12:30;visit
607473;2022-02-21 13:39:56;visit
607473;2022-02-26 14:51:47;visit
607473;2022-03-03 10:40:05;visit
607473;2022-03-03 12:33:48;visit
607473;2021-12-08 21:56:07;registration
607473;2021-12-15 11:43:19;login
607473;2021-12-21 00:19:08;login
607473;2021-12-24 11:57:48;login
607473;2021-12-26 15:26:11;login
607473;2021-12-29 10:59:06;login
607473;2022-01-03 23:52:13;login
607473;2022-01-04 10:02:12;login
607473;2022-01-11 01:59:00;login
607473;2022-01-17 00:10:14;login
607473;2022-01-18 04:30:32;login
772215;2021-02-06 23:10:52;visit
772215;2021-02-07 14:34:32;visit
772215;2021-02-08 20:32:43;visit
772215;2021-02-15 10:26:30;visit
772215;2021-02-21 09:07:09;visit
772215;2021-02-22 08:17:05;visit
772215;2021-02-24 05:24:03;visit
772215;2021-02-28 13:32:24;visit
772215;2021-03-02 05:16:38;visit
772215;2021-03-08 19:31:36;visit
772215;2021-03-10 21:31:46;visit
772215;2021-03-11 09:48:10;visit
772215;2021-03-11 16:02:15;visit
772215;2021-03-15 19:55:57;visit
772215;2021-03-16 09:32:10;visit
772215;2021-03-17 03:01:52;visit
772215;2021-03-20 18:40:48;visit
772215;2021-03-24 11:06:34;visit
772215;2021-03-28 21:49:27;visit
772215;2021-04-04 04:55:19;visit
772215;2021-04-10 19:27:01;visit
772215;2021-04-15 07:19:22;visit
772215;2021-04-20 17:34:31;visit
772215;2021-04-26 11:24:34;visit
772215;2021-05-03 01:02:09;visit
772215;2021-05-05 15:40:54;visit
772215;2021-05-11 00:01:29;visit
772215;2021-05-12 13:04:23;visit
772215;2021-05-17 12:32:05;visit
772215;2021-05-24 05:33:14;visit
234909;2021-11-02 17:01:59;visit
234909;2021-11-08 04:14:45;visit
234909;2021-11-13 11:57:54;visit
234909;2021-11-18 12:16:20;visit
234909;2021-11-22 19:29:57;visit
234909;2021-11-26 09:03:05;visit
234909;2021-11-30 23:38:30;visit
234909;2021-12-05 17:18:28;visit
234909;2021-12-06 00:13:36;visit
234909;2021-12-06 22:34:48;visit
234909;2021-12-09 07:37:13;visit
234909;2021-12-12 01:58:00;visit
219151;2021-02-21 00:21:44;visit
219151;2021-02-23 17:01:31;visit
219151;2021-02-25 18:41:54;visit
219151;2021-03-02 22:59:08;visit
219151;2021-03-05 10:40:38;visit
219151;2021-03-09 15:38:48;visit
219151;2021-03-11 11:10:32;visit
454218;2021-12-08 20:17:27;visit
454218;2021-12-10 03:34:29;visit
454218;2021-12-12 04:32:48;visit
454218;2021-12-16 11:23:09;visit
454218;2021-12-21 06:35:22;visit
454218;2021-12-28 01:15:11;visit
454218;2022-01-01 22:26:16;visit
454218;2021-12-11 05:05:37;registration
454218;2021-12-12 19:40:16;login
454218;2021-12-17 11:44:47;login
454218;2021-12-22 14:39:23;login
454218;2021-12-24 23:48:38;login
454218;2021-12-28 12:00:39;login
454218;2021-12-30 11:21:53;login
454218;2022-01-05 05:31:56;login
347062;2021-12-28 13:35:16;visit
347062;2021-12-29 09:43:25;visit
347062;2021-12-30 02:41:21;visit
347062;2022-01-05 04:05:22;visit
347062;2022-01-09 09:07:05;visit
347062;2022-01-13 23:09:39;visit
347062;2022-01-20 14:43:45;visit
347062;2022-01-22 20:19:56;visit
347062;2022-01-29 01:40:48;visit
347062;2022-02-04 06:03:13;visit
347062;2022-02-08 06:28:53;visit
347062;2022-02-11 23:02:10;visit
347062;2022-02-15 00:52:21;visit
347062;2022-02-18 13:14:47;visit
347062;2022-02-22 02:13:59;visit
347062;2022-02-26 00:16:13;visit
347062;2022-03-04 14:46:59;visit
347062;2022-03-10 12:27:16;visit
347062;2022-03-16 08:30:03;visit
347062;2022-03-18 01:18:41;visit
347062;2022-03-22 08:12:52;visit
347062;2022-03-27 15:01:48;visit
347062;2022-04-01 13:46:38;visit
347062;2022-04-05 03:27:00;visit
347062;2022-04-10 09:36:44;visit
347062;2022-01-02 23:46:41;registration
347062;2022-01-04 21:12:05;login
347062;2022-01-09 17:22:21;login
347062;2022-01-12 08:11:27;login
347062;2022-01-14 18:08:59;login
347062;2022-01-15 18:01:18;login
347062;2022-01-21 02:36:56;login
347062;2022-01-21 20:10:15;login
347062;2022-01-26 01:02:22;login
347062;2022-02-01 02:32:13;login
839098;2021-02-19 20:30:26;visit
839098;2021-02-21 03:24:45;visit
839098;2021-02-22 15:27:24;visit
839098;2021-02-23 01:37:12;visit
625271;2021-10-12 05:14:10;visit
625271;2021-10-14 03:14:42;visit
625271;2021-10-16 08:46:54;visit
625271;2021-10-22 02:30:16;visit
625271;2021-10-27 13:16:55;visit
625271;2021-10-30 23:36:56;visit
625271;2021-11-05 22:08:26;visit
625271;2021-11-12 06:03:27;visit
625271;2021-11-13 08:57:39;visit
625271;2021-11-16 02:38:20;visit
620946;2021-03-04 00:03:36;visit
620946;2021-03-05 01:51:13;visit
620946;2021-03-11 22:11:55;visit
620946;2021-03-17 21:59:06;visit
620946;2021-03-20 01:25:05;visit
620946;2021-03-23 01:37:50;visit
620946;2021-03-29 02:19:29;visit
620946;2021-03-31 22:03:45;visit
620946;2021-04-02 21:14:26;visit
620946;2021-04-04 23:48:15;visit
620946;2021-04-10 16:06:55;visit
620946;2021-04-10 20:42:49;visit
620946;2021-04-11 17:43:46;visit
620946;2021-04-17 09:11:24;visit
620946;2021-04-18 00:47:03;visit
620946;2021-04-23 11:39:53;visit
620946;2021-04-24 04:04:04;visit
620946;2021-04-24 06:37:21;visit
620946;2021-04-25 18:05:08;visit
620946;2021-04-27 04:04:22;visit
620946;2021-05-01 21:40:51;visit
620946;2021-05-06 21:37:18;visit
620946;2021-05-12 05:12:36;visit
620946;2021-05-12 23:32:11;visit
300290;2021-12-21 02:39:20;visit
300290;2021-12-22 21:18:44;visit
300290;2021-12-26 03:46:52;visit
300290;2021-12-29 23:20:15;visit
300290;2021-12-30 23:13:52;visit
300290;2022-01-04 10:44:18;visit
300290;2022-01-10 08:32:54;visit
300290;2022-01-13 22:07:27;visit
300290;2022-01-15 09:43:51;visit
601136;2021-06-01 08:50:57;visit
601136;2021-06-05 23:34:24;visit
601136;2021-06-11 21:59:33;visit
601136;2021-06-12 20:35:53;visit
601136;2021-06-03 09:15:21;registration
601136;2021-06-07 02:13:42;login
601136;2021-06-09 20:09:45;login
601136;2021-06-10 01:06:47;login
571161;2021-10-15 01:52:58;visit
571161;2021-10-16 05:24:39;visit
571161;2021-10-20 08:31:12;visit
123878;2021-03-16 17:27:06;visit
123878;2021-03-17 13:37:51;visit
123878;2021-03-23 09:57:14;visit
123878;2021-03-24 05:27:58;visit
123878;2021-03-26 14:35:04;visit
123878;2021-03-28 16:10:42;visit
123878;2021-04-02 03:49:08;visit
123878;2021-04-08 15:31:38;visit
123878;2021-04-08 16:41:11;visit
123878;2021-04-12 02:56:06;visit
123878;2021-04-13 03:26:44;visit
123878;2021-04-13 09:37:04;visit
123878;2021-04-19 11:16:34;visit
123878;2021-04-26 05:30:51;visit
123878;2021-05-01 18:47:26;visit
123878;2021-05-06 23:30:55;visit
123878;2021-05-11 14:45:39;visit
123878;2021-05-12 19:32:15;visit
123878;2021-05-17 18:53:54;visit
123878;2021-05-23 04:14:04;visit
123878;2021-05-29 16:21:24;visit
123878;2021-05-31 18:16:38;visit
123878;2021-06-07 16:07:54;visit
123878;2021-06-13 16:45:17;visit
123878;2021-06-16 01:08:42;visit
123878;2021-03-22 00:38:14;registration
123878;2021-03-23 01:13:47;login
123878;2021-03-26 22:58:22;login
123878;2021-04-01 09:57:12;login
214662;2021-12-16 15:39:20;visit
214662;2021-12-19 04:56:03;visit
214662;2021-12-19 22:14:04;visit
214662;2021-12-25 21:00:10;visit
214662;2021-12-31 13:21:48;visit
214662;2022-01-04 23:21:11;visit
214662;2022-01-11 08:08:13;visit
214662;2022-01-16 20:31:54;visit
214662;2022-01-17 08:45:04;visit
214662;2022-01-24 06:13:53;visit
214662;2022-01-28 07:04:15;visit
214662;2022-01-28 23:20:33;visit
214662;2021-12-17 13:12:13;registration
214662;2021-12-20 16:46:45;login
214662;2021-12-24 07:57:50;login
214662;2021-12-25 07:24:31;login
214662;2021-12-27 17:12:55;login
214662;2022-01-02 04:33:14;login
214662;2022-01-03 09:15:03;login
214662;2022-01-08 18:13:26;login
214662;2022-01-13 02:20:30;login
214662;2022-01-15 08:29:00;login
214662;2022-01-16 14:50:39;login
813842;2021-01-02 13:32:38;visit
813842;2021-01-06 13:21:41;visit
813842;2021-01-11 03:54:43;visit
813842;2021-01-18 00:31:04;visit
813842;2021-01-21 20:00:50;visit
813842;2021-01-27 04:15:54;visit
813842;2021-02-01 07:12:07;visit
813842;2021-02-04 11:53:43;visit
813842;2021-02-06 23:53:41;visit
813842;2021-02-10 19:07:59;visit
813842;2021-02-11 12:48:25;visit
813842;2021-02-16 04:07:41;visit
933772;2021-03-17 06:31:34;visit
933772;2021-03-21 03:08:59;visit
933772;2021-03-22 00:02:52;visit
933772;2021-03-24 16:55:15;visit
933772;2021-03-26 09:32:23;visit
933772;2021-04-02 06:47:22;visit
933772;2021-04-04 14:15:47;visit
605490;2021-03-18 21:59:10;visit
605490;2021-03-25 17:31:21;visit
605490;2021-03-31 13:55:56;visit
605490;2021-04-06 02:16:59;visit
605490;2021-04-08 12:15:30;visit
605490;2021-04-15 03:02:03;visit
605490;2021-04-16 00:03:51;visit
233508;2021-03-29 04:13:25;visit
233508;2021-04-04 07:56:38;visit
233508;2021-04-08 04:28:43;visit
233508;2021-04-11 09:08:13;visit
233508;2021-04-15 10:18:15;visit
233508;2021-04-15 13:15:02;visit
233508;2021-04-04 17:02:44;registration
233508;2021-04-07 00:16:14;login
233508;2021-04-11 03:13:13;login
233508;2021-04-13 03:47:16;login
101838;2021-03-20 03:33:46;visit
101838;2021-03-21 07:45:08;visit
101838;2021-03-25 21:15:56;visit
101838;2021-03-29 13:33:55;visit
101838;2021-03-30 05:36:41;visit
101838;2021-04-01 21:56:06;visit
101838;2021-04-03 01:06:58;visit
101838;2021-04-05 02:33:05;visit
101838;2021-04-05 23:41:31;visit
101838;2021-04-09 00:34:13;visit
101838;2021-04-11 11:07:52;visit
101838;2021-04-17 20:34:35;visit
101838;2021-04-24 07:03:40;visit
101838;2021-04-30 06:50:27;visit
101838;2021-05-04 02:24:32;visit
101838;2021-05-05 21:30:36;visit
101838;2021-05-11 07:01:08;visit
101838;2021-05-13 13:42:38;visit
101838;2021-05-16 11:02:57;visit
101838;2021-05-19 02:46:06;visit
101838;2021-05-24 02:39:46;visit
101838;2021-05-25 18:08:10;visit
101838;2021-03-20 09:20:50;registration
101838;2021-03-21 21:05:05;login
743661;2021-09-12 18:51:58;visit
743661;2021-09-16 23:00:33;visit
743661;2021-09-19 00:19:47;visit
743661;2021-09-24 12:11:15;visit
743661;2021-09-28 23:26:58;visit
743661;2021-09-30 06:23:06;visit
255008;2021-04-02 14:59:32;visit
255008;2021-04-09 06:58:51;visit
255008;2021-04-11 18:12:12;visit
255008;2021-04-13 23:42:27;visit
255008;2021-04-18 05:48:05;visit
255008;2021-04-21 11:12:50;visit
255008;2021-04-21 11:32:13;visit
255008;2021-04-24 03:17:35;visit
255008;2021-05-01 00:05:33;visit
255008;2021-05-05 01:48:35;visit
255008;2021-05-07 17:53:27;visit
255008;2021-05-11 03:09:59;visit
255008;2021-05-15 19:54:52;visit
255008;2021-05-19 03:47:34;visit
255008;2021-05-19 07:02:03;visit
255008;2021-05-22 11:21:15;visit
255008;2021-05-25 13:31:59;visit
255008;2021-05-28 20:33:54;visit
255008;2021-05-29 04:34:32;visit
255008;2021-06-01 05:44:06;visit
255008;2021-06-03 17:43:09;visit
255008;2021-06-09 21:14:56;visit
255008;2021-06-14 22:54:27;visit
255008;2021-06-17 12:24:36;visit
255008;2021-06-24 01:27:12;visit
255008;2021-06-29 03:42:08;visit
255008;2021-04-06 07:33:51;registration
255008;2021-04-07 17:10:34;login
255008;2021-04-09 07:28:33;login
255008;2021-04-11 01:31:41;login
255008;2021-04-11 13:24:09;login
255008;2021-04-13 12:45:20;login
255008;2021-04-19 09:49:53;login
255008;2021-04-21 09:28:03;login
255008;2021-04-25 01:18:16;login
255008;2021-04-27 22:29:42;login
255008;2021-04-30 12:07:46;login
532504;2021-11-25 08:01:03;visit
532504;2021-11-26 06:01:24;visit
532504;2021-11-27 22:07:01;visit
532504;2021-11-29 08:02:16;visit
532504;2021-11-29 21:15:18;visit
532504;2021-12-02 16:16:53;visit
532504;2021-12-08 14:32:31;visit
532504;2021-12-09 18:17:27;visit
532504;2021-12-12 07:34:14;visit
532504;2021-12-16 22:03:50;visit
532504;2021-12-21 12:06:07;visit
532504;2021-12-23 06:14:59;visit
532504;2021-12-25 03:05:22;visit
532504;2021-12-28 20:22:40;visit
532504;2021-12-30 17:02:35;visit
532504;2022-01-03 16:23:29;visit
532504;2022-01-07 22:24:28;visit
532504;2022-01-12 11:56:36;visit
532504;2022-01-16 21:05:46;visit
532504;2022-01-16 21:35:27;visit
532504;2022-01-21 00:08:55;visit
532504;2022-01-21 17:52:49;visit
532504;2022-01-25 22:51:26;visit
532504;2022-02-01 13:04:56;visit
532504;2022-02-06 12:53:20;visit
532504;2022-02-09 23:38:47;visit
532504;2022-02-14 05:32:46;visit
532504;2022-02-15 10:16:18;visit
532504;2022-02-21 23:15:39;visit
532504;2022-02-28 13:12:12;visit
532504;2021-12-01 11:22:56;registration
532504;2021-12-03 22:23:26;login
532504;2021-12-07 02:41:49;login
532504;2021-12-08 01:41:05;login
111084;2021-11-25 01:11:08;visit
111084;2021-11-25 20:38:09;visit
111084;2021-11-30 13:48:34;visit
111084;2021-12-05 19:25:42;visit
111084;2021-12-08 19:18:50;visit
111084;2021-12-11 07:47:21;visit
111084;2021-12-11 17:41:03;visit
111084;2021-12-18 09:38:12;visit
111084;2021-12-20 08:36:48;visit
111084;2021-12-24 05:52:45;visit
111084;2021-12-29 18:01:07;visit
111084;2022-01-02 07:01:58;visit
752819;2021-01-28 17:08:12;visit
752819;2021-01-29 06:20:32;visit
752819;2021-02-05 02:34:24;visit
752819;2021-02-06 11:02:38;visit
752819;2021-02-08 06:23:24;visit
752819;2021-02-13 04:24:36;visit
752819;2021-02-17 03:07:05;visit
752819;2021-02-17 10:02:59;visit
752819;2021-02-20 05:34:07;visit
752819;2021-02-25 23:00:09;visit
752819;2021-03-02 19:59:35;visit
752819;2021-03-05 04:14:45;visit
752819;2021-03-06 10:30:16;visit
752819;2021-03-07 17:15:24;visit
752819;2021-03-09 15:50:54;visit
752819;2021-03-15 18:39:45;visit
752819;2021-03-17 16:15:56;visit
752819;2021-03-20 16:16:51;visit
752819;2021-03-26 23:48:35;visit
752819;2021-03-28 20:57:08;visit
752819;2021-04-03 01:35:11;visit
752819;2021-04-09 22:09:56;visit
752819;2021-04-11 10:42:08;visit
820431;2021-12-24 14:44:35;visit
820431;2021-12-27 09:23:05;visit
820431;2022-01-01 17:27:15;visit
820431;2022-01-05 02:06:02;visit
820431;2022-01-05 02:24:56;visit
820431;2022-01-07 05:18:10;visit
820431;2022-01-11 22:20:13;visit
820431;2022-01-13 12:09:47;visit
820431;2022-01-17 18:17:17;visit
820431;2022-01-20 21:18:51;visit
820431;2022-01-21 16:11:20;visit
820431;2022-01-25 08:29:59;visit
820431;2022-01-27 16:24:55;visit
820431;2022-02-02 17:20:57;visit
820431;2022-02-07 14:08:35;visit
820431;2022-02-13 22:44:46;visit
820431;2022-02-19 12:10:14;visit
820431;2022-02-23 20:03:31;visit
820431;2022-03-01 11:48:37;visit
820431;2022-03-05 22:21:54;visit
820431;2022-03-10 20:15:37;visit
820431;2022-03-13 19:11:12;visit
820431;2022-03-15 22:11:14;visit
820431;2022-03-20 15:46:28;visit
820431;2022-03-24 23:22:00;visit
820431;2022-03-27 21:06:19;visit
751071;2021-10-02 00:14:27;visit
751071;2021-10-06 11:17:17;visit
751071;2021-10-07 17:44:32;visit
751071;2021-10-08 13:50:39;visit
751071;2021-10-10 03:00:57;visit
751071;2021-10-11 01:24:00;visit
751071;2021-10-17 00:49:32;visit
751071;2021-10-07 11:28:28;registration
751071;2021-10-10 06:33:42;login
751071;2021-10-10 09:49:31;login
751071;2021-10-15 11:54:03;login
751071;2021-10-21 04:17:45;login
581436;2021-05-16 19:07:34;visit
581436;2021-05-23 11:06:38;visit
581436;2021-05-27 22:41:18;visit
581436;2021-05-29 02:40:25;visit
581436;2021-05-29 04:17:45;visit
581436;2021-06-03 11:12:56;visit
581436;2021-06-09 08:46:48;visit
581436;2021-06-14 01:45:00;visit
581436;2021-06-16 20:56:59;visit
581436;2021-06-17 10:04:47;visit
581436;2021-06-21 14:42:53;visit
581436;2021-06-26 05:42:46;visit
581436;2021-05-22 07:16:48;registration
581436;2021-05-23 16:43:04;login
581436;2021-05-30 12:25:30;login
501119;2021-08-15 06:57:45;visit
501119;2021-08-16 17:04:01;visit
501119;2021-08-22 11:51:27;visit
501119;2021-08-24 19:40:35;visit
501119;2021-08-26 06:52:32;visit
501119;2021-09-01 19:39:09;visit
501119;2021-09-06 18:14:04;visit
501119;2021-09-09 15:10:45;visit
501119;2021-09-14 01:59:38;visit
501119;2021-09-18 10:02:48;visit
501119;2021-09-19 13:59:38;visit
501119;2021-09-20 14:47:04;visit
501119;2021-09-24 23:04:52;visit
501119;2021-09-27 00:29:01;visit
501119;2021-09-27 20:43:16;visit
501119;2021-10-01 12:59:57;visit
501119;2021-10-02 16:10:46;visit
501119;2021-10-08 20:27:24;visit
501119;2021-10-14 19:04:44;visit
501119;2021-10-20 14:40:43;visit
501119;2021-10-26 09:59:25;visit
501119;2021-10-28 20:03:40;visit
501119;2021-10-30 13:22:16;visit
501119;2021-11-05 06:12:35;visit
501119;2021-08-17 15:54:09;registration
501119;2021-08-21 18:30:40;login
501119;2021-08-22 02:59:37;login
501119;2021-08-26 09:26:47;login
501119;2021-08-26 21:28:03;login
840193;2021-10-17 14:56:06;visit
840193;2021-10-18 05:56:18;visit
840193;2021-10-20 15:55:21;visit
840193;2021-10-23 10:05:04;visit
840193;2021-10-26 02:44:08;visit
840193;2021-10-26 07:22:26;visit
840193;2021-11-01 22:17:16;visit
840193;2021-11-06 03:03:44;visit
840193;2021-11-07 18:09:17;visit
840193;2021-11-08 11:13:29;visit
840193;2021-11-11 08:54:42;visit
840193;2021-11-14 01:28:20;visit
840193;2021-11-18 13:28:04;visit
840193;2021-11-23 13:45:13;visit
840193;2021-11-25 06:43:23;visit
840193;2021-11-30 21:22:34;visit
840193;2021-12-03 17:44:33;visit
840193;2021-12-09 18:55:51;visit
840193;2021-12-12 15:36:34;visit
840193;2021-10-18 14:58:21;registration
840193;2021-10-20 01:56:25;login
840193;2021-10-21 05:21:02;login
840193;2021-10-23 04:39:18;login
840193;2021-10-24 09:42:05;login
840193;2021-10-24 11:39:45;login
840193;2021-10-24 10:14:06;N/A
924537;2021-12-02 07:48:18;visit
924537;2021-12-06 11:21:42;visit
924537;2021-12-09 00:40:58;visit
924537;2021-12-11 11:52:01;visit
924537;2021-12-07 21:48:17;registration
924537;2021-12-10 11:11:20;login
924537;2021-12-13 19:50:58;login
924537;2021-12-16 01:27:59;login
924537;2021-12-18 09:07:37;login
924537;2021-12-24 08:14:27;login
924537;2021-12-28 15:26:29;login
591087;2021-07-12 17:10:29;visit
591087;2021-07-16 06:55:37;visit
591087;2021-07-23 03:32:04;visit
591087;2021-07-25 04:42:23;visit
591087;2021-07-31 01:51:24;visit
591087;2021-08-05 16:24:52;visit
591087;2021-08-08 15:13:36;visit
591087;2021-08-11 04:05:39;visit
591087;2021-08-15 22:56:21;visit
591087;2021-08-20 07:05:44;visit
591087;2021-08-21 17:15:30;visit
591087;2021-08-23 09:16:07;visit
591087;2021-08-28 05:10:36;visit
591087;2021-08-30 19:35:02;visit
591087;2021-09-02 00:00:16;visit
591087;2021-09-08 00:26:30;visit
591087;2021-09-11 13:53:16;visit
591087;2021-09-14 03:51:46;visit
434684;2021-11-09 21:59:50;visit
434684;2021-11-10 02:06:04;visit
434684;2021-11-10 21:17:37;visit
434684;2021-11-16 03:27:33;visit
614024;2021-03-11 23:12:24;visit
614024;2021-03-13 15:44:50;visit
614024;2021-03-18 13:23:57;visit
614024;2021-03-23 14:44:26;visit
614024;2021-03-27 10:36:18;visit
614024;2021-03-28 10:59:07;visit
614024;2021-04-03 10:06:25;visit
614024;2021-04-06 11:07:26;visit
614024;2021-04-07 06:41:04;visit
614024;2021-04-11 23:13:08;visit
614024;2021-03-15 11:06:25;registration
614024;2021-03-17 09:00:49;login
614024;2021-03-19 02:42:04;login
614024;2021-03-21 21:48:08;login
614024;2021-03-26 20:15:11;login
614024;2021-03-29 23:45:27;login
548379;2021-06-23 16:45:32;visit
548379;2021-06-26 22:11:18;visit
548379;2021-07-03 03:56:44;visit
548379;2021-07-09 23:04:33;visit
548379;2021-07-15 18:55:30;visit
548379;2021-07-19 07:07:45;visit
548379;2021-07-25 18:13:04;visit
548379;2021-07-26 22:32:00;visit
548379;2021-08-02 01:47:53;visit
548379;2021-08-03 11:58:59;visit
548379;2021-08-04 23:54:50;visit
548379;2021-08-07 09:09:53;visit
548379;2021-08-09 07:44:24;visit
548379;2021-08-11 19:22:38;visit
548379;2021-08-13 02:31:42;visit
548379;2021-08-13 15:25:18;visit
548379;2021-06-23 23:57:11;registration
548379;2021-06-25 20:32:38;login
548379;2021-06-26 12:41:45;login
548379;2021-06-29 15:45:39;login
548379;2021-07-05 17:41:27;login
548379;2021-07-11 08:07:44;login
534097;2021-11-19 00:16:45;visit
534097;2021-11-19 18:30:28;visit
534097;2021-11-24 05:03:13;visit
534097;2021-11-27 06:29:51;visit
534097;2021-12-02 05:33:05;visit
534097;2021-12-08 18:25:27;visit
534097;2021-12-15 09:21:20;visit
534097;2021-12-19 21:12:25;visit
173004;2021-12-07 00:31:09;visit
173004;2021-12-10 07:43:46;visit
173004;2021-12-14 15:11:14;visit
173004;2021-12-20 12:46:48;visit
173004;2021-12-21 00:53:11;visit
173004;2021-12-27 08:48:05;visit
173004;2021-12-30 06:46:32;visit
173004;2022-01-04 22:32:41;visit
173004;2022-01-05 19:20:18;visit
610577;2021-02-02 17:04:54;visit
610577;2021-02-08 16:59:22;visit
610577;2021-02-10 17:49:52;visit
610577;2021-02-16 05:53:55;visit
610577;2021-02-19 05:05:37;visit
610577;2021-02-25 01:24:02;visit
610577;2021-03-02 09:55:24;visit
610577;2021-03-03 19:36:23;visit
610577;2021-03-09 13:56:46;visit
610577;2021-03-15 05:56:48;visit
610577;2021-03-20 00:26:18;visit
610577;2021-03-21 00:53:15;visit
610577;2021-03-25 10:09:30;visit
610577;2021-03-26 09:54:36;visit
610577;2021-03-29 00:03:24;visit
610577;2021-03-30 00:34:40;visit
